ChapterNumber,CharCountDiff,LevDistance,Link,Title,paraChangeCount,textLevTotal
CTM03755,0.0,3.0,View changes,CTM03755 Attribution Of Rights And Powers Of Associates - Guidance Applying To Accounting Periods Ending Before 1 April 2011,0.0,0.0
CTM03760,0.0,3.0,View changes,CTM03760 ESC C9,0.0,0.0
CTM03770,54.0,57.0,View changes,CTM03770 Substantial Commercial Interdependence: Contents,0.0,0.0
CTM03790,51.0,58.0,View changes,CTM03790 Substantial Commercial Interdependence: Economic Interdependence,0.0,0.0
CTM03800,29.0,31.0,View changes,CTM03800 Accident Of Circumstance Is Not Substantial Commercial Interdependence,0.0,0.0
CTM03805,0.0,2.0,View changes,CTM03805 Association Through A Loan Creditor,0.0,0.0
CTM03810,0.0,2.0,View changes,CTM03810 Association By Holding Fixed Rate Preference Shares,0.0,0.0
CTM03830,0.0,2.0,View changes,CTM03830 Small Companies: Association Through A Trustee,0.0,0.0
CTM04050,54.0,56.0,View changes,CTM04050 Reliefs Available,0.0,0.0
CTM04150,0.0,2.0,View changes,CTM04150 Relief For Losses Carried Forward: Finality Of Figures,0.0,0.0
CTM04200,54.0,56.0,View changes,CTM04200 Relief For Losses Carried Forward: Companies Going Into Partnership,0.0,0.0
CTM04400,29.0,32.0,View changes,CTM04400 Restriction For Government Investment Written Off,0.0,0.0
CTM04505,0.0,4.0,View changes,CTM04505 Introduction,0.0,0.0
CTM04507,54.0,57.0,View changes,CTM04507 Preceding Accounting Periods: Contents,0.0,0.0
CTM04550,64.0,132.0,View changes,CTM04550 Preceding Accounting Periods: Example Showing Losses Of An Earlier Period Used Before Losses Of A Later Period,0.0,0.0
CTM04580,54.0,57.0,View changes,CTM04580 Claims,0.0,0.0
CTM04590,0.0,3.0,View changes,CTM04590 Late Claims,0.0,0.0
CTM06010,0.0,3.0,View changes,CTM06010 Common Ownership,0.0,0.0
CTM06060,54.0,57.0,View changes,CTM06060 Transfers Of Trade,0.0,0.0
CTM06110,54.0,57.0,View changes,CTM06110 Without Change In Ownership - Effects,0.0,0.0
CTM06210,54.0,57.0,View changes,CTM06210 Avoidance,0.0,0.0
CTM06260,54.0,57.0,View changes,CTM06260 Relevant Liabilities Restriction - Particular Aspects,0.0,0.0
CTM06270,0.0,4.0,View changes,CTM06270 Relevant Liabilities Restriction - Details,0.0,0.0
CTM06305,0.0,4.0,View changes,CTM06305 Loss-Buying: Introduction,0.0,0.0
CTM06310,0.0,3.0,View changes,CTM06310 Loss-Buying: Identifying Cases,0.0,0.0
CTM06320,0.0,3.0,View changes,CTM06320 Loss-Buying: Advising Taxpayers,0.0,0.0
CTM06340,0.0,3.0,View changes,CTM06340 Loss-Buying: Change In Ownership,0.0,0.0
CTM06355,54.0,57.0,View changes,CTM06355 Loss-Buying: Change In Ultimate Parent,0.0,0.0
CTM06390,54.0,57.0,View changes,CTM06390 Loss-Buying: Trading Activities Becoming Small Or Negligible,0.0,0.0
CTM06420,54.0,58.0,View changes,CTM06420 Loss-Buying: Accounting Period In Which Change Of Ownership Occurs,0.0,0.0
CTM06505,0.0,3.0,View changes,CTM06505 Introduction And Signposts,0.0,0.0
CTM06540,54.0,57.0,View changes,CTM06540 ‘Reasonable To Infer’ Test,0.0,0.0
CTM06610,25.0,28.0,View changes,CTM06610 Companies – Introduction,0.0,0.0
CTM06620,54.0,57.0,View changes,CTM06620 Companies – Non-Trading Amounts Restricted,0.0,0.0
CTM06630,29.0,32.0,View changes,CTM06630 Companies – Apportionment Of Non-Trading Amounts,0.0,0.0
CTM07010,25.0,29.0,View changes,CTM07010 Transfer Of Deductions – Introduction,0.0,0.0
CTM07020,54.0,57.0,View changes,CTM07020 Transfer Of Deductions – Qualifying Changes,0.0,0.0
CTM07030,54.0,57.0,View changes,CTM07030 Transfer Of Deductions – Highly Likely Disallowed Deductions,0.0,0.0
CTM07040,54.0,57.0,View changes,CTM07040 Transfer Of Deductions – Motive Test,0.0,0.0
CTM07050,54.0,57.0,View changes,CTM07050 Transfer Of Deductions – Loss Shifting: Disallowance Of Deductible Amounts For Group Relief Or Sideways Loss Relief,0.0,0.0
CTM07060,29.0,32.0,View changes,CTM07060 Transfer Of Deductions - Profit Shifting: Transfer Of Profits Into Newly Acquired Company With Available Deductions,0.0,0.0
CTM08040,0.0,3.0,View changes,CTM08040 Investment Company - With Investment Business,0.0,0.0
CTM08060,0.0,3.0,View changes,CTM08060 Company Status - Parent Or Holding Companies,0.0,0.0
CTM08150,0.0,3.0,View changes,CTM08150 General,0.0,0.0
CTM08160,0.0,3.0,View changes,CTM08160 General - Case Law,0.0,0.0
CTM08170,0.0,4.0,View changes,CTM08170 Wholly And Exclusively,0.0,0.0
CTM08190,0.0,2.0,View changes,CTM08190 Changing Investments - General Test,0.0,0.0
CTM08238,54.0,56.0,View changes,CTM08238 Targeted Anti-Avoidance Rule (TAAR) - Tax Advantage,0.0,0.0
CTM08240,54.0,56.0,View changes,CTM08240 Capital V Revenue,0.0,0.0
CTM08250,0.0,2.0,View changes,CTM08250 Capital Exclusion - Periods Starting On Or After 1 April 2004,0.0,0.0
CTM08330,0.0,4.0,View changes,CTM08330 Directors' Remuneration,0.0,0.0
CTM08340,0.0,3.0,View changes,CTM08340 Pension Contributions: Contents,0.0,0.0
CTM08341,0.0,3.0,View changes,CTM08341 Introduction,0.0,0.0
CTM08342,0.0,3.0,View changes,CTM08342 Meaning Of Employer,0.0,0.0
CTM08343,0.0,4.0,View changes,CTM08343 Capital Expenditure,0.0,0.0
CTM08344,0.0,3.0,View changes,CTM08344 In Respect Of The Investment Business - General,0.0,0.0
CTM08345,0.0,3.0,View changes,CTM08345 Timing Of Relief,0.0,0.0
CTM08348,0.0,3.0,View changes,CTM08348 Sale Of Subsidiary,0.0,0.0
CTM08349,0.0,4.0,View changes,CTM08349 Payment By Third Parties,0.0,0.0
CTM08350,0.0,3.0,View changes,CTM08350 Pension Regulator,0.0,0.0
CTM08353,0.0,4.0,View changes,CTM08353 Multi-Employer Group Schemes - Investment Business,0.0,0.0
CTM08580,0.0,3.0,View changes,CTM08580 Method Of Relief And Computation,0.0,0.0
CTM08710,0.0,3.0,View changes,CTM08710 Introduction,0.0,0.0
CTM08720,0.0,3.0,View changes,CTM08720 Conditions,0.0,0.0
CTM08770,0.0,4.0,View changes,CTM08770 During An Accounting Period (S678),0.0,0.0
CTM08880,54.0,58.0,View changes,CTM08880 Chargeable Gain On Disposal Of Asset Acquired From Another Member Of The Group,0.0,0.0
CTM09510,54.0,57.0,View changes,CTM09510: Relief For Expenditure On Grassroots Sport: Background,0.0,0.0
CTM09515,54.0,57.0,View changes,CTM09515 Relief For Expenditure On Grassroots Sport: Eligibility For Deduction: Qualifying Expenditure,0.0,0.0
CTM09520,54.0,57.0,View changes,CTM09520 : Relief For Expenditure On Grassroots Sport: Eligibility For Deduction: Qualifying Sport Body,0.0,0.0
CTM09525,29.0,32.0,View changes,CTM09525 Relief For Expenditure On Grassroots Sport: Operation Of CTA10/PART6A,0.0,0.0
CTM15120,0.0,3.0,View changes,CTM15120 Introduction,0.0,0.0
CTM15130,0.0,3.0,View changes,CTM15130 Explanation Of Terms,0.0,0.0
CTM15140,0.0,4.0,View changes,CTM15140 New Consideration,0.0,0.0
CTM15150,0.0,3.0,View changes,CTM15150 Tax Consequences,0.0,0.0
CTM15200,0.0,3.0,View changes,CTM15200 Dividends And Tax Law,0.0,0.0
CTM15205,0.0,3.0,View changes,"CTM15205 Dividends, Distributions And Company Law",0.0,0.0
CTM15250,0.0,3.0,View changes,CTM15250 Transfer Of Assets And Liabilities By/To Members,0.0,0.0
CTM15310,0.0,3.0,View changes,CTM15310 Transfers Between Companies Within The Charge To CT,0.0,0.0
CTM15350,0.0,2.0,View changes,CTM15350 Out Of Assets In Respect Of Shares,0.0,0.0
CTM15400,0.0,3.0,View changes,CTM15400 Repayment Of Share Capital - Bonus Issues,0.0,0.0
CTM15410,0.0,2.0,View changes,CTM15410 Repayment Of Share Capital - Bonus Issues - Exceptions,0.0,0.0
CTM15420,0.0,2.0,View changes,CTM15420 Repayment Of Share Capital - Bonus Issues - After Repayment,0.0,0.0
CTM15440,0.0,2.0,View changes,CTM15440 Repayment Of Share Capital: Share Capital/Share Premium Reduction,0.0,0.0
CTM15450,0.0,2.0,View changes,CTM15450 Bonus Issues Of Securities Or Redeemable Shares,0.0,0.0
CTM15500,0.0,2.0,View changes,CTM15500 Interest Or Other Value In Respect Of Securities - Introduction,0.0,0.0
CTM15501,0.0,2.0,View changes,CTM15501 Interest Or Other Value In Respect Of Securities - Principal Secured,0.0,0.0
CTM15502,54.0,56.0,View changes,CTM15502 Interest Or Other Value In Respect Of Securities - Reasonable Commercial Return,0.0,0.0
CTM15525,0.0,2.0,View changes,CTM15525 Ratchet Loans,0.0,0.0
CTM15540,54.0,58.0,View changes,CTM15540 Unincorporated Associations,0.0,0.0
CTM15920,0.0,5.0,View changes,CTM15920 Distributions: Non-Qualifying Distributions: Form CT2,0.0,0.0
CTM15930,0.0,5.0,View changes,CTM15930 Distributions: Non-Qualifying Distributions: Action On Receipt Of Return,0.0,0.0
CTM16050,0.0,5.0,View changes,CTM16050 Introduction,0.0,0.0
CTM16100,0.0,5.0,View changes,CTM16100 Receipt By UK Resident Company,0.0,0.0
CTM16120,0.0,5.0,View changes,CTM16120 Franked Investment Income - General,0.0,0.0
CTM16130,0.0,5.0,View changes,CTM16130 Franked Investment Income Under The ACT System Abolished From 6 April 1999 - Use Of,0.0,0.0
CTM16200,0.0,5.0,View changes,CTM16200 Franked Investment Income Under The ACT System Abolished From 6 April 1999: Surplus - Claims Under ICTA88/S242,0.0,0.0
CTM16210,0.0,5.0,View changes,CTM16210 Franked Investment Income Under The ACT System Abolished From 6 April 1999 - Surplus - Claims Under ICTA88/S242 - Computation,0.0,0.0
CTM16215,0.0,4.0,View changes,CTM16215 Franked Investment Income Under The ACT System Abolished From 6 April 1999 - Surplus - Claims Under ICTA88/S242 - Change In Rate Of Tax Credit,0.0,0.0
CTM17005,0.0,5.0,View changes,CTM17005 Introduction,0.0,0.0
CTM17250,0.0,4.0,View changes,CTM17250 Introduction,0.0,0.0
CTM17260,0.0,6.0,View changes,CTM17260 Clearance Procedure And Returns,0.0,0.0
CTM17270,0.0,4.0,View changes,CTM17270 Action Required In Offices,0.0,0.0
CTM17310,54.0,58.0,View changes,CTM17310 Liquidation Reconstruction,0.0,0.0
CTM17505,0.0,5.0,View changes,CTM17505 Introduction,0.0,0.0
CTM17507,0.0,4.0,View changes,CTM17507 Quoted And Unquoted Companies,0.0,0.0
CTM17510,0.0,6.0,View changes,CTM17510 Application Of The Distributions Legislation,0.0,0.0
CTM17530,54.0,58.0,View changes,CTM17530 Previous Bonus Issue,0.0,0.0
CTM17550,54.0,59.0,View changes,CTM17550 Repeat Bonus Issues,0.0,0.0
CTM17560,0.0,4.0,View changes,CTM17560 Quoted Shares,0.0,0.0
CTM17570,0.0,6.0,View changes,CTM17570 Special Treatment For Unquoted Companies,0.0,0.0
CTM17630,0.0,6.0,View changes,CTM17630 From A Dealer,0.0,0.0
CTM18200,949.0,967.0,View changes,CTM18200 Set-Off Of ACT: Accounting Periods Ending On Or Before 5 April 1999,3.0,191.0
CTM18230,54.0,58.0,View changes,CTM18230 Unrelieved Surplus ACT,0.0,0.0
CTM18370,54.0,59.0,View changes,CTM18370 Definition Of A Group: Arrangements,0.0,0.0
CTM18420,54.0,60.0,View changes,CTM18420 Accounting Periods To Which The Regulations Apply: Company Not A Member Of A Group: No Immediate Opt Out,0.0,0.0
CTM18480,54.0,60.0,View changes,CTM18480 Accounting Periods To Which The Regulations Apply: Group Members: Immediate Opt Out,0.0,0.0
CTM18650,54.0,59.0,View changes,CTM18650 Utilisation Of: Overview,0.0,0.0
CTM18710,54.0,58.0,View changes,CTM18710 Utilisation Of: Companies Leaving And Joining A Group,0.0,0.0
CTM18730,54.0,56.0,View changes,CTM18730 Unrelieved Surplus: Restriction On Set- Off Of Arising As The Result Of A Surrender,0.0,0.0
CTM18750,0.0,2.0,View changes,CTM18750 Unrelieved Surplus: ACT Buying,0.0,0.0
CTM18760,54.0,56.0,View changes,CTM18760 Unrelieved Surplus: Change Of Ownership Of Company,0.0,0.0
CTM18770,0.0,2.0,View changes,CTM18770 Unrelieved Surplus: Asset Transferred After Change In Ownership Of Company,0.0,0.0
CTM18810,54.0,56.0,View changes,CTM18810 Unrelieved Surplus: Displacement Of,0.0,0.0
CTM20055,0.0,2.0,View changes,CTM20055 Distributions,0.0,0.0
CTM20060,0.0,2.0,View changes,CTM20060 Franked Payments,0.0,0.0
CTM20065,54.0,56.0,View changes,CTM20065 Rate Of ACT,0.0,0.0
CTM20070,0.0,2.0,View changes,CTM20070 Qualifying And Non-Qualifying Distributions,0.0,0.0
CTM20090,0.0,2.0,View changes,CTM20090 Ultra Vires Dividends,0.0,0.0
CTM20105,9188.0,9222.0,View changes,CTM20105 ACT: Set-Off Against CT On Profits: Introduction,16.0,2648.0
CTM20120,4898.0,4902.0,View changes,CTM20120 ACT: Set-Off Against CT On Profits: Amount Available,9.0,2961.0
CTM20150,1410.0,1414.0,View changes,CTM20150 ACT: Set-Off Against CT On Profits: Maximum,5.0,468.0
CTM20160,472.0,475.0,View changes,CTM20160 ACT: Set-Off Against CT On Profits: Surplus ACT,4.0,511.0
CTM20170,0.0,4.0,View changes,CTM20170 ACT: Set-Off Against CT On Profits: Surplus ACT Carry Back,0.0,0.0
CTM20190,0.0,3.0,View changes,CTM20190 ACT: Set-Off Against CT On Profits: Form Of Claim,0.0,0.0
CTM20210,619.0,625.0,View changes,CTM20210 ACT: Set-Off Against CT On Profits: Repayment From Carry-Back Of Surplus,4.0,676.0
CTM20220,0.0,3.0,View changes,CTM20220 ACT: Set-Off Against CT On Profits: Interest Advantage Pre Pay And File,0.0,0.0
CTM20240,0.0,3.0,View changes,CTM20240 ACT: Set-Off Against CT On Profits: Time Limit,0.0,0.0
CTM20300,0.0,4.0,View changes,CTM20300 ACT: Set-Off Against CT On Profits: Capacity Buying: Introduction,0.0,0.0
CTM20310,0.0,3.0,View changes,CTM20310 ACT: Set-Off Against CT On Profits: Capacity Buying: Conditions,0.0,0.0
CTM20330,31242.0,32566.0,View changes,CTM20330 ACT: Set-Off Against CT On Profits: Capacity Buying: Effect Of Applying Rules,65.0,22182.0
CTM20510,0.0,4.0,View changes,CTM20510 Summary Of Main Changes,0.0,0.0
CTM20515,54.0,57.0,View changes,CTM20515 Reason For The Changes,0.0,0.0
CTM20520,0.0,3.0,View changes,CTM20520 Effects Of Main Changes,0.0,0.0
CTM20525,0.0,3.0,View changes,CTM20525 Rate At Which ACT Is Payable,0.0,0.0
CTM20540,54.0,57.0,View changes,CTM20540 Franked Investment Income: As Upper Limit,0.0,0.0
CTM20560,0.0,4.0,View changes,CTM20560 Loan Released Or Written Off,0.0,0.0
CTM20565,0.0,3.0,View changes,CTM20565 Non-Qualifying Distributions Etc,0.0,0.0
CTM20570,297.0,302.0,View changes,CTM20570 FID,3.0,355.0
CTM21010,54.0,57.0,View changes,CTM21010 Overview,0.0,0.0
CTM21100,0.0,3.0,View changes,CTM21100 Election: Effect Of,0.0,0.0
CTM21110,0.0,3.0,View changes,CTM21110 Election: Conditions,0.0,0.0
CTM21200,54.0,57.0,View changes,CTM21200 Election: Dividend Vouchers,0.0,0.0
CTM21220,0.0,3.0,View changes,CTM21220 Excess FID,0.0,0.0
CTM21230,54.0,57.0,View changes,CTM21230 Authorised Unit Trusts,0.0,0.0
CTM21240,0.0,3.0,View changes,CTM21240 Repayment Interest,0.0,0.0
CTM21250,276.0,280.0,View changes,CTM21250 Accounting Procedures,6.0,1979.0
CTM21270,3314.0,3317.0,View changes,CTM21270 How Legislation Operated In Practice: Summary,18.0,3976.0
CTM21280,0.0,3.0,View changes,CTM21280 How Legislation Operated In Practice: Examples,0.0,0.0
CTM21310,54.0,57.0,View changes,CTM21310 Matching FID With Distributable Foreign Profit (DFP): Outline,0.0,0.0
CTM21330,0.0,3.0,View changes,CTM21330 Matching FID With Distributable Foreign Profit (DFP): Of A Subsidiary,0.0,0.0
CTM21400,54.0,57.0,View changes,CTM21400 ACT: FID: Repayment Or Set Off Of ACT: Contents,0.0,0.0
CTM21405,304.0,311.0,View changes,CTM21405 Outline,7.0,1406.0
CTM21420,54.0,57.0,View changes,CTM21420 Notional Foreign Source,0.0,0.0
CTM21480,0.0,3.0,View changes,CTM21480 Revision Of Profits,0.0,0.0
CTM21510,54.0,57.0,View changes,CTM21510 Conditions,0.0,0.0
CTM21540,0.0,3.0,View changes,CTM21540 Company Found Not To Be An IHC,0.0,0.0
CTM21550,54.0,57.0,View changes,CTM21550 Further Reckoning Comparison,0.0,0.0
CTM22010,3223.0,3226.0,View changes,CTM22010 Introduction,29.0,5480.0
CTM22050,2694.0,2720.0,View changes,CTM22050 Return Periods,6.0,857.0
CTM22060,1830.0,4587.0,View changes,CTM22060 Of Returns,21.0,2713.0
CTM22070,0.0,2.0,View changes,CTM22070 Date Payable,0.0,0.0
CTM22085,0.0,2.0,View changes,CTM22085 FID Received In Later Return Period,0.0,0.0
CTM22150,0.0,2.0,View changes,CTM22150 Items Included In Error,0.0,0.0
CTM22250,0.0,3.0,View changes,CTM22250 Changes In Rate Of ACT,0.0,0.0
CTM34110,0.0,3.0,View changes,CTM34110 Migration: Before 15 March 1988,0.0,0.0
CTM34120,0.0,3.0,View changes,CTM34120 Migration: From 15 March 1988,0.0,0.0
CTM34130,0.0,3.0,View changes,CTM34130 Liabilities Arising: Introduction,0.0,0.0
CTM34132,0.0,3.0,View changes,CTM34132 Liabilities Arising: Deferral Of Exit Charges: Eligible Companies And Conditions,0.0,0.0
CTM34133,54.0,57.0,View changes,CTM34133 Liabilities Arising: Deferral Of Exit Charges: Exit Charge Payment Plan: General,0.0,0.0
CTM34135,0.0,3.0,View changes,CTM34135 Liabilities Arising: Deferral Of Exit Charges: Exit Charge Payment Plan: Realisation Method: Outline,0.0,0.0
CTM34136,54.0,57.0,View changes,CTM34136 Liabilities Arising: Deferral Of Exit Charges: Exit Charge Payment Plan: Realisation Method: Tax Deferral And Annual Reports,0.0,0.0
CTM34138,54.0,57.0,View changes,CTM34138 Liabilities Arising: Deferral Of Exit Charges: Exit Charge Payment Plan: Action In HMRC Offices: Other Issues,0.0,0.0
CTM34195,29.0,32.0,View changes,CTM34195 Migration: Guidance Notes For Migrating Companies,0.0,0.0
CTM34230,54.0,57.0,View changes,CTM34230 Residence: Non-Resident Companies: Differences In Treatment Compared With Resident Companies,0.0,0.0
CTM34240,0.0,4.0,View changes,CTM34240 Residence: Non-Resident Companies: ‘Charges Paid’ - Relief For Annual Payments And Patent Royalties,0.0,0.0
CTM34250,0.0,3.0,View changes,CTM34250 Residence: Non-Resident Companies: ‘Charges Received’: Income From Which Income Tax Has Been Deducted,0.0,0.0
CTM34270,0.0,3.0,View changes,CTM34270 Residence: Non-Resident Companies: Distributions Received,0.0,0.0
CTM34500,29.0,32.0,View changes,CTM34500 Residence: Dual Resident Companies: Contents,0.0,0.0
CTM34505,0.0,3.0,View changes,CTM34505 Introduction,0.0,0.0
CTM34720,54.0,57.0,View changes,CTM34720 Anti-Forestalling Provisions,0.0,0.0
CTM35100,54.0,57.0,View changes,CTM35100 Collection Of Tax On Annual Payments: Contents,0.0,0.0
CTM35110,0.0,3.0,View changes,CTM35110 Return Periods,0.0,0.0
CTM35120,0.0,3.0,View changes,CTM35120 Date Tax Payable,0.0,0.0
CTM35125,0.0,3.0,View changes,CTM35125 Set Off Of Tax Suffered By Deduction,0.0,0.0
CTM35130,54.0,58.0,View changes,CTM35130 Amended Return Where Company Becomes Aware Of An Error,0.0,0.0
CTM35205,0.0,4.0,View changes,CTM35205 Introduction,0.0,0.0
CTM35210,0.0,3.0,View changes,CTM35210 Payments Made Before 1 April 2001,0.0,0.0
CTM35218,54.0,57.0,View changes,CTM35218 Eurobonds And Deduction Of Tax,0.0,0.0
CTM35220,0.0,4.0,View changes,CTM35220 Income Received Net,0.0,0.0
CTM36105,0.0,2.0,View changes,CTM36105 Introduction,0.0,0.0
CTM36125,54.0,56.0,View changes,CTM36125 Beneficial Ownership Of Shares,0.0,0.0
CTM36130,0.0,2.0,View changes,CTM36130 Distributions,0.0,0.0
CTM36135,0.0,2.0,View changes,CTM36135 Responsibility Of Officer,0.0,0.0
CTM36145,0.0,2.0,View changes,CTM36145 Review Office,0.0,0.0
CTM36150,54.0,56.0,View changes,"CTM36150 Investment Of Surplus Funds By The Department For Business, Innovation And Skills",0.0,0.0
CTM36205,0.0,4.0,View changes,CTM36205 Distributions In Anticipation Of Dissolution: Introduction,0.0,0.0
CTM36210,0.0,3.0,View changes,CTM36210 Loans To Participators,0.0,0.0
CTM36220,0.0,3.0,View changes,CTM36220 Distributions Treated As Being Made On Formal Winding Up,0.0,0.0
CTM36230,0.0,3.0,View changes,CTM36230 ESCC16: Already Dissolved,0.0,0.0
CTM36320,1.0,4.0,View changes,CTM36320 Condition C: Introduction,1.0,1.0
CTM36505,6287.0,6352.0,View changes,CTM36505 Introduction,11.0,1424.0
CTM36510,0.0,3.0,View changes,CTM36510 Computation Of Profits And Losses,0.0,0.0
CTM36540,0.0,3.0,View changes,CTM36540 Companies In Partnership : Interest Paid Etc,0.0,0.0
CTM36560,0.0,3.0,View changes,CTM36560 Investment Partnerships,0.0,0.0
CTM36570,0.0,3.0,View changes,CTM36570 Investment Partnerships: Procedures For,0.0,0.0
CTM36590,0.0,4.0,View changes,CTM36590 Transfer Of Relief Between Companies And Partnerships,0.0,0.0
CTM36610,0.0,3.0,View changes,CTM36610 Repeal Of Rent Factoring Legislation From 6 June 2006,0.0,0.0
CTM36805,0.0,3.0,View changes,CTM36805 Introduction,0.0,0.0
CTM36810,0.0,3.0,View changes,CTM36810 Definitions: Securities And Transaction In Securities,0.0,0.0
CTM36820,0.0,3.0,View changes,CTM36820 'Circumstances’ And Relevant Consideration,0.0,0.0
CTM36835,54.0,58.0,View changes,CTM36835 Corporation Tax Advantage,0.0,0.0
CTM40055,0.0,3.0,View changes,CTM40055 Charities: General,0.0,0.0
CTM40105,0.0,3.0,View changes,CTM40105 Clubs: Introduction,0.0,0.0
CTM40110,439.0,446.0,View changes,CTM40110 Clubs: Incorporated Under The Co-Operative And Community Benefit Societies Act 2014 (Formerly The Industrial & Provident Societies Acts),5.0,537.0
CTM40120,0.0,3.0,View changes,CTM40120 Clubs: Incorporated As Companies: Dividends Not Paid,0.0,0.0
CTM40135,54.0,57.0,View changes,CTM40135 Clubs: Machine Commissions,0.0,0.0
CTM40155,0.0,4.0,View changes,CTM40155 Credit Unions : Introduction,0.0,0.0
CTM40160,0.0,3.0,View changes,CTM40160 Taxation Of Union,0.0,0.0
CTM40310,0.0,3.0,View changes,CTM40310 Meaning Of Friendly Society,0.0,0.0
CTM40320,0.0,3.0,View changes,CTM40320 Business Categories,0.0,0.0
CTM40325,0.0,4.0,View changes,CTM40325 Exemption For Basic Life Assurance And General Annuityor Endowment Business (BLAGAB),0.0,0.0
CTM40340,0.0,3.0,View changes,CTM40340 Repayment Claims,0.0,0.0
CTM40355,0.0,3.0,View changes,CTM40355 Introduction,0.0,0.0
CTM40360,0.0,2.0,View changes,CTM40360 IT Deducted From Payments Received,0.0,0.0
CTM40405,0.0,2.0,View changes,CTM40405 Introduction,0.0,0.0
CTM40410,540.0,543.0,View changes,CTM40410 Summary Of Tax Treatment,11.0,1984.0
CTM40420,54.0,56.0,View changes,CTM40420 Co-Operatives - Nature Of Relief And Claim,0.0,0.0
CTM40425,0.0,2.0,View changes,CTM40425 Co- Operatives: Approval,0.0,0.0
CTM40435,0.0,2.0,View changes,CTM40435 Co-Operatives - Unlet Properties,0.0,0.0
CTM40465,0.0,2.0,View changes,CTM40465 Management Co-Operatives,0.0,0.0
CTM40505,0.0,3.0,View changes,CTM40505 General,0.0,0.0
CTM40507,77.0,81.0,View changes,CTM40507 Background And Types Of Society,1.0,77.0
CTM40510,11360.0,15083.0,View changes,CTM40510 Claims For Exemption,51.0,18396.0
CTM40515,0.0,3.0,View changes,CTM40515 Carrying On Trade - Dividends Etc,0.0,0.0
CTM40520,0.0,3.0,View changes,CTM40520 Share And Loan Interest Paid: The Society,0.0,0.0
CTM40555,54.0,57.0,View changes,CTM40555 Financial Compensation,0.0,0.0
CTM40580,0.0,4.0,View changes,CTM40580 Agricultural And Fishing Co-Operatives Treated As Registered Societies,0.0,0.0
CTM40700,0.0,3.0,View changes,CTM40700 Investment Trusts,0.0,0.0
CTM40805,0.0,3.0,View changes,CTM40805 Loan And General,0.0,0.0
CTM40855,0.0,3.0,View changes,CTM40855 Introduction,0.0,0.0
CTM40860,0.0,3.0,View changes,CTM40860 Definition,0.0,0.0
CTM40880,54.0,57.0,View changes,CTM40880 Income Tax Deducted From Payments Received,0.0,0.0
CTM41050,0.0,3.0,View changes,CTM41050 Retirement Benefits Schemes,0.0,0.0
CTM41110,0.0,3.0,View changes,CTM41110 Sports Testimonial Or Benefit Committees,0.0,0.0
CTM41150,54.0,58.0,View changes,CTM41150 Local Enterprise Organisations And Urban Regeneration Companies,0.0,0.0
CTM41205,0.0,3.0,View changes,CTM41205 Within The Charge To Corporation Tax,0.0,0.0
CTM41210,0.0,3.0,View changes,CTM41210 Special Arrangement,0.0,0.0
CTM41255,0.0,3.0,View changes,CTM41255 Introduction,0.0,0.0
CTM41260,0.0,3.0,View changes,CTM41260 Provident Benefits - Extent Of Relief,0.0,0.0
CTM41265,0.0,3.0,View changes,CTM41265 Provident Benefits - Nature Of Payment,0.0,0.0
CTM41275,0.0,3.0,View changes,CTM41275 Provident Benefits - Method Of Allowing Relief,0.0,0.0
CTM41325,54.0,57.0,View changes,CTM41325 Part Of A Wider Undertaking?,0.0,0.0
CTM41335,0.0,4.0,View changes,CTM41335 Cessation,0.0,0.0
CTM47105,0.0,4.0,View changes,CTM47105 General: What Are They?,0.0,0.0
CTM47110,0.0,3.0,View changes,CTM47110 General: Approved And Unapproved,0.0,0.0
CTM47150,54.0,57.0,View changes,CTM47150 Approval Procedures: Contents,0.0,0.0
CTM47160,0.0,3.0,View changes,CTM47160 Provisional Approval,0.0,0.0
CTM47205,0.0,2.0,View changes,CTM47205 Residence And Close Control,0.0,0.0
CTM47210,0.0,2.0,View changes,CTM47210 Income,0.0,0.0
CTM47220,0.0,2.0,View changes,CTM47220 Official UK Listing,0.0,0.0
CTM47420,29.0,31.0,View changes,CTM47420 Transfer Groups,0.0,0.0
CTM47505,0.0,4.0,View changes,CTM47505 Introduction,0.0,0.0
CTM47510,0.0,3.0,View changes,CTM47510 When Dividends Can Be Designated As Interest Distributions,0.0,0.0
CTM47515,0.0,3.0,View changes,CTM47515 Prospective Investment Trust - The Intention And Reasonable Belief Test,0.0,0.0
CTM47535,0.0,3.0,View changes,CTM47535 Taxation Of Companies Making Interest Distributions,0.0,0.0
CTM47540,0.0,3.0,View changes,CTM47540 Taxation Of Investors Receiving Interest Distributions,0.0,0.0
CTM47545,0.0,3.0,View changes,CTM47545 Duty To Deduct Tax From Interest Distributions - General,0.0,0.0
CTM47555,0.0,4.0,View changes,CTM47555 Gross Interest Distributions - Reputable Intermediary Condition,0.0,0.0
CTM47560,0.0,3.0,View changes,CTM47560 Gross Interest Distributions - Evidence Required To Demonstrate The Residence Condition,0.0,0.0
CTM47570,0.0,3.0,View changes,CTM47570 Tax Vouchers - Introduction,0.0,0.0
CTM47580,0.0,3.0,View changes,CTM47580 Tax Vouchers - Alternative Rules For Providing Tax Information To Recipients,0.0,0.0
CTM47596,29.0,32.0,View changes,CTM47596 Duty To Keep And Preserve Records,0.0,0.0
CTM48110,0.0,3.0,View changes,CTM48110 Types Of Scheme,0.0,0.0
