ChapterNumber,CharCountDiff,LevDistance,Link,Title
CTM01130,0.0,4.0,View changes,CTM01130 Introduction: Computation Of Profits
CTM01140,0.0,3.0,View changes,CTM01140 Introduction: Charitable Donations Relief: Formerly Charges On Income
CTM01160,0.0,3.0,View changes,CTM01160 Introduction: Distributions
CTM01180,0.0,3.0,View changes,CTM01180 Introduction: IT Deduction From Certain Payments
CTM01190,0.0,3.0,View changes,CTM01190 Introduction: Close Companies
CTM01420,0.0,4.0,View changes,CTM01420 Commencement - Special Cases
CTM01500,54.0,57.0,View changes,CTM01500 End Of
CTM01510,0.0,3.0,View changes,CTM01510 Cannot Exceed 12 Months
CTM01520,54.0,57.0,View changes,CTM01520 Company Winding-Up
CTM01560,0.0,3.0,View changes,CTM01560 Accounts Made Up To Slightly Varying Dates
CTM01750,0.0,3.0,View changes,CTM01750 Rates Of Tax
CTM02000,54.0,57.0,View changes,CTM02000 Computation Of Income: Contents
CTM02030,54.0,57.0,View changes,CTM02030 CTA09 And CTA10
CTM02060,54.0,57.0,View changes,CTM02060 Dividends And Other Distributions Received
CTM02130,0.0,3.0,View changes,CTM02130 Special Rules: Trades Wholly Abroad
CTM02150,0.0,3.0,View changes,CTM02150 Directors Fees Received By Companies: Assessment
CTM02350,54.0,57.0,View changes,CTM02350 Capital Allowances
CTM03505,0.0,3.0,View changes,CTM03505 2014: Introduction
CTM03540,54.0,56.0,View changes,CTM03540 No Associated Companies - Profits Exceeding The Lower Limit
CTM03570,54.0,57.0,View changes,CTM03570 Associated Company - Definition
CTM03592,54.0,56.0,View changes,CTM03592 Whether Trade Or Business Carried On - Investment And Holding Companies
CTM03600,0.0,3.0,View changes,CTM03600 Definition Of Augmented Profits
CTM03710,0.0,4.0,View changes,CTM03710 Associated Companies - Detailed Provisions - Introduction
CTM03730,0.0,3.0,View changes,CTM03730 Control By The Same Person Or Persons
CTM03740,0.0,3.0,View changes,CTM03740 Associated Companies - Attribution Of Rights And Powers Of Nominees
CTM03750,0.0,3.0,View changes,CTM03750 Small Profits Rate: Attribution To A Person Of Rights And Powers Of Associates - Commercial Interdependence With Companies Controlled By Associates: Accounting Periods Ending On Or After 1 April 2011
CTM03755,0.0,3.0,View changes,CTM03755 Attribution Of Rights And Powers Of Associates - Guidance Applying To Accounting Periods Ending Before 1 April 2011
CTM03760,0.0,3.0,View changes,CTM03760 ESC C9
CTM03770,54.0,57.0,View changes,CTM03770 Substantial Commercial Interdependence: Contents
CTM03790,51.0,58.0,View changes,CTM03790 Substantial Commercial Interdependence: Economic Interdependence
CTM03800,29.0,31.0,View changes,CTM03800 Accident Of Circumstance Is Not Substantial Commercial Interdependence
CTM03805,0.0,2.0,View changes,CTM03805 Association Through A Loan Creditor
CTM03810,0.0,2.0,View changes,CTM03810 Association By Holding Fixed Rate Preference Shares
CTM03830,0.0,2.0,View changes,CTM03830 Small Companies: Association Through A Trustee
CTM04050,54.0,56.0,View changes,CTM04050 Reliefs Available
CTM04150,0.0,2.0,View changes,CTM04150 Relief For Losses Carried Forward: Finality Of Figures
CTM04200,54.0,56.0,View changes,CTM04200 Relief For Losses Carried Forward: Companies Going Into Partnership
CTM04400,29.0,32.0,View changes,CTM04400 Restriction For Government Investment Written Off
CTM04505,0.0,4.0,View changes,CTM04505 Introduction
CTM04507,54.0,57.0,View changes,CTM04507 Preceding Accounting Periods: Contents
CTM04550,64.0,132.0,View changes,CTM04550 Preceding Accounting Periods: Example Showing Losses Of An Earlier Period Used Before Losses Of A Later Period
CTM04580,54.0,57.0,View changes,CTM04580 Claims
CTM04590,0.0,3.0,View changes,CTM04590 Late Claims
CTM06010,0.0,3.0,View changes,CTM06010 Common Ownership
CTM06060,54.0,57.0,View changes,CTM06060 Transfers Of Trade
CTM06110,54.0,57.0,View changes,CTM06110 Without Change In Ownership - Effects
CTM06210,54.0,57.0,View changes,CTM06210 Avoidance
CTM06260,54.0,57.0,View changes,CTM06260 Relevant Liabilities Restriction - Particular Aspects
CTM06270,0.0,4.0,View changes,CTM06270 Relevant Liabilities Restriction - Details
CTM06305,0.0,4.0,View changes,CTM06305 Loss-Buying: Introduction
CTM06310,0.0,3.0,View changes,CTM06310 Loss-Buying: Identifying Cases
CTM06320,0.0,3.0,View changes,CTM06320 Loss-Buying: Advising Taxpayers
CTM06340,0.0,3.0,View changes,CTM06340 Loss-Buying: Change In Ownership
CTM06355,54.0,57.0,View changes,CTM06355 Loss-Buying: Change In Ultimate Parent
CTM06390,54.0,57.0,View changes,CTM06390 Loss-Buying: Trading Activities Becoming Small Or Negligible
CTM06420,54.0,58.0,View changes,CTM06420 Loss-Buying: Accounting Period In Which Change Of Ownership Occurs
CTM06505,0.0,3.0,View changes,CTM06505 Introduction And Signposts
CTM06540,54.0,57.0,View changes,CTM06540 ‘Reasonable To Infer’ Test
CTM06610,25.0,28.0,View changes,CTM06610 Companies – Introduction
CTM06620,54.0,57.0,View changes,CTM06620 Companies – Non-Trading Amounts Restricted
CTM06630,29.0,32.0,View changes,CTM06630 Companies – Apportionment Of Non-Trading Amounts
CTM07010,25.0,29.0,View changes,CTM07010 Transfer Of Deductions – Introduction
CTM07020,54.0,57.0,View changes,CTM07020 Transfer Of Deductions – Qualifying Changes
CTM07030,54.0,57.0,View changes,CTM07030 Transfer Of Deductions – Highly Likely Disallowed Deductions
CTM07040,54.0,57.0,View changes,CTM07040 Transfer Of Deductions – Motive Test
CTM07050,54.0,57.0,View changes,CTM07050 Transfer Of Deductions – Loss Shifting: Disallowance Of Deductible Amounts For Group Relief Or Sideways Loss Relief
CTM07060,29.0,32.0,View changes,CTM07060 Transfer Of Deductions - Profit Shifting: Transfer Of Profits Into Newly Acquired Company With Available Deductions
CTM08040,0.0,3.0,View changes,CTM08040 Investment Company - With Investment Business
CTM08060,0.0,3.0,View changes,CTM08060 Company Status - Parent Or Holding Companies
CTM08150,0.0,3.0,View changes,CTM08150 General
CTM08160,0.0,3.0,View changes,CTM08160 General - Case Law
CTM08170,0.0,4.0,View changes,CTM08170 Wholly And Exclusively
CTM08190,0.0,2.0,View changes,CTM08190 Changing Investments - General Test
CTM08238,54.0,56.0,View changes,CTM08238 Targeted Anti-Avoidance Rule (TAAR) - Tax Advantage
CTM08240,54.0,56.0,View changes,CTM08240 Capital V Revenue
CTM08250,0.0,2.0,View changes,CTM08250 Capital Exclusion - Periods Starting On Or After 1 April 2004
CTM08330,0.0,4.0,View changes,CTM08330 Directors' Remuneration
CTM08340,0.0,3.0,View changes,CTM08340 Pension Contributions: Contents
CTM08341,0.0,3.0,View changes,CTM08341 Introduction
CTM08342,0.0,3.0,View changes,CTM08342 Meaning Of Employer
CTM08343,0.0,4.0,View changes,CTM08343 Capital Expenditure
CTM08344,0.0,3.0,View changes,CTM08344 In Respect Of The Investment Business - General
CTM08345,0.0,3.0,View changes,CTM08345 Timing Of Relief
CTM08348,0.0,3.0,View changes,CTM08348 Sale Of Subsidiary
CTM08349,0.0,4.0,View changes,CTM08349 Payment By Third Parties
CTM08350,0.0,3.0,View changes,CTM08350 Pension Regulator
CTM08353,0.0,4.0,View changes,CTM08353 Multi-Employer Group Schemes - Investment Business
CTM08580,0.0,3.0,View changes,CTM08580 Method Of Relief And Computation
CTM08710,0.0,3.0,View changes,CTM08710 Introduction
CTM08720,0.0,3.0,View changes,CTM08720 Conditions
CTM08770,0.0,4.0,View changes,CTM08770 During An Accounting Period (S678)
CTM08880,54.0,58.0,View changes,CTM08880 Chargeable Gain On Disposal Of Asset Acquired From Another Member Of The Group
CTM09510,54.0,57.0,View changes,CTM09510: Relief For Expenditure On Grassroots Sport: Background
CTM09515,54.0,57.0,View changes,CTM09515 Relief For Expenditure On Grassroots Sport: Eligibility For Deduction: Qualifying Expenditure
CTM09520,54.0,57.0,View changes,CTM09520 : Relief For Expenditure On Grassroots Sport: Eligibility For Deduction: Qualifying Sport Body
CTM09525,29.0,32.0,View changes,CTM09525 Relief For Expenditure On Grassroots Sport: Operation Of CTA10/PART6A
CTM15120,0.0,3.0,View changes,CTM15120 Introduction
CTM15130,0.0,3.0,View changes,CTM15130 Explanation Of Terms
CTM15140,0.0,4.0,View changes,CTM15140 New Consideration
CTM15150,0.0,3.0,View changes,CTM15150 Tax Consequences
CTM15200,0.0,3.0,View changes,CTM15200 Dividends And Tax Law
CTM15205,0.0,3.0,View changes,"CTM15205 Dividends, Distributions And Company Law"
CTM15250,0.0,3.0,View changes,CTM15250 Transfer Of Assets And Liabilities By/To Members
CTM15310,0.0,3.0,View changes,CTM15310 Transfers Between Companies Within The Charge To CT
CTM15350,0.0,2.0,View changes,CTM15350 Out Of Assets In Respect Of Shares
CTM15400,0.0,3.0,View changes,CTM15400 Repayment Of Share Capital - Bonus Issues
CTM15410,0.0,2.0,View changes,CTM15410 Repayment Of Share Capital - Bonus Issues - Exceptions
CTM15420,0.0,2.0,View changes,CTM15420 Repayment Of Share Capital - Bonus Issues - After Repayment
CTM15440,0.0,2.0,View changes,CTM15440 Repayment Of Share Capital: Share Capital/Share Premium Reduction
CTM15450,0.0,2.0,View changes,CTM15450 Bonus Issues Of Securities Or Redeemable Shares
CTM15500,0.0,2.0,View changes,CTM15500 Interest Or Other Value In Respect Of Securities - Introduction
CTM15501,0.0,2.0,View changes,CTM15501 Interest Or Other Value In Respect Of Securities - Principal Secured
CTM15502,54.0,56.0,View changes,CTM15502 Interest Or Other Value In Respect Of Securities - Reasonable Commercial Return
CTM15525,0.0,2.0,View changes,CTM15525 Ratchet Loans
CTM15540,54.0,58.0,View changes,CTM15540 Unincorporated Associations
CTM15920,0.0,5.0,View changes,CTM15920 Distributions: Non-Qualifying Distributions: Form CT2
CTM15930,0.0,5.0,View changes,CTM15930 Distributions: Non-Qualifying Distributions: Action On Receipt Of Return
CTM16050,0.0,5.0,View changes,CTM16050 Introduction
CTM16100,0.0,5.0,View changes,CTM16100 Receipt By UK Resident Company
CTM16120,0.0,5.0,View changes,CTM16120 Franked Investment Income - General
CTM16130,0.0,5.0,View changes,CTM16130 Franked Investment Income Under The ACT System Abolished From 6 April 1999 - Use Of
CTM16200,0.0,5.0,View changes,CTM16200 Franked Investment Income Under The ACT System Abolished From 6 April 1999: Surplus - Claims Under ICTA88/S242
CTM16210,0.0,5.0,View changes,CTM16210 Franked Investment Income Under The ACT System Abolished From 6 April 1999 - Surplus - Claims Under ICTA88/S242 - Computation
CTM16215,0.0,4.0,View changes,CTM16215 Franked Investment Income Under The ACT System Abolished From 6 April 1999 - Surplus - Claims Under ICTA88/S242 - Change In Rate Of Tax Credit
CTM17005,0.0,5.0,View changes,CTM17005 Introduction
CTM17250,0.0,4.0,View changes,CTM17250 Introduction
CTM17260,0.0,6.0,View changes,CTM17260 Clearance Procedure And Returns
CTM17270,0.0,4.0,View changes,CTM17270 Action Required In Offices
CTM17310,54.0,58.0,View changes,CTM17310 Liquidation Reconstruction
CTM17505,0.0,5.0,View changes,CTM17505 Introduction
CTM17507,0.0,4.0,View changes,CTM17507 Quoted And Unquoted Companies
CTM17510,0.0,6.0,View changes,CTM17510 Application Of The Distributions Legislation
CTM17530,54.0,58.0,View changes,CTM17530 Previous Bonus Issue
CTM17550,54.0,59.0,View changes,CTM17550 Repeat Bonus Issues
CTM17560,0.0,4.0,View changes,CTM17560 Quoted Shares
CTM17570,0.0,6.0,View changes,CTM17570 Special Treatment For Unquoted Companies
CTM17630,0.0,6.0,View changes,CTM17630 From A Dealer
CTM18200,949.0,967.0,View changes,CTM18200 Set-Off Of ACT: Accounting Periods Ending On Or Before 5 April 1999
CTM18230,54.0,58.0,View changes,CTM18230 Unrelieved Surplus ACT
CTM18370,54.0,59.0,View changes,CTM18370 Definition Of A Group: Arrangements
CTM18420,54.0,60.0,View changes,CTM18420 Accounting Periods To Which The Regulations Apply: Company Not A Member Of A Group: No Immediate Opt Out
CTM18480,54.0,60.0,View changes,CTM18480 Accounting Periods To Which The Regulations Apply: Group Members: Immediate Opt Out
CTM18650,54.0,59.0,View changes,CTM18650 Utilisation Of: Overview
CTM18710,54.0,58.0,View changes,CTM18710 Utilisation Of: Companies Leaving And Joining A Group
CTM18730,54.0,56.0,View changes,CTM18730 Unrelieved Surplus: Restriction On Set- Off Of Arising As The Result Of A Surrender
CTM18750,0.0,2.0,View changes,CTM18750 Unrelieved Surplus: ACT Buying
CTM18760,54.0,56.0,View changes,CTM18760 Unrelieved Surplus: Change Of Ownership Of Company
CTM18770,0.0,2.0,View changes,CTM18770 Unrelieved Surplus: Asset Transferred After Change In Ownership Of Company
CTM18810,54.0,56.0,View changes,CTM18810 Unrelieved Surplus: Displacement Of
CTM20055,0.0,2.0,View changes,CTM20055 Distributions
CTM20060,0.0,2.0,View changes,CTM20060 Franked Payments
CTM20065,54.0,56.0,View changes,CTM20065 Rate Of ACT
CTM20070,0.0,2.0,View changes,CTM20070 Qualifying And Non-Qualifying Distributions
CTM20090,0.0,2.0,View changes,CTM20090 Ultra Vires Dividends
CTM20105,9188.0,9222.0,View changes,CTM20105 ACT: Set-Off Against CT On Profits: Introduction
CTM20120,4898.0,4902.0,View changes,CTM20120 ACT: Set-Off Against CT On Profits: Amount Available
CTM20150,1410.0,1414.0,View changes,CTM20150 ACT: Set-Off Against CT On Profits: Maximum
CTM20160,472.0,475.0,View changes,CTM20160 ACT: Set-Off Against CT On Profits: Surplus ACT
CTM20170,0.0,4.0,View changes,CTM20170 ACT: Set-Off Against CT On Profits: Surplus ACT Carry Back
CTM20190,0.0,3.0,View changes,CTM20190 ACT: Set-Off Against CT On Profits: Form Of Claim
CTM20210,619.0,625.0,View changes,CTM20210 ACT: Set-Off Against CT On Profits: Repayment From Carry-Back Of Surplus
CTM20220,0.0,3.0,View changes,CTM20220 ACT: Set-Off Against CT On Profits: Interest Advantage Pre Pay And File
CTM20240,0.0,3.0,View changes,CTM20240 ACT: Set-Off Against CT On Profits: Time Limit
CTM20300,0.0,4.0,View changes,CTM20300 ACT: Set-Off Against CT On Profits: Capacity Buying: Introduction
CTM20310,0.0,3.0,View changes,CTM20310 ACT: Set-Off Against CT On Profits: Capacity Buying: Conditions
CTM20330,31242.0,32566.0,View changes,CTM20330 ACT: Set-Off Against CT On Profits: Capacity Buying: Effect Of Applying Rules
CTM20510,0.0,4.0,View changes,CTM20510 Summary Of Main Changes
CTM20515,54.0,57.0,View changes,CTM20515 Reason For The Changes
CTM20520,0.0,3.0,View changes,CTM20520 Effects Of Main Changes
CTM20525,0.0,3.0,View changes,CTM20525 Rate At Which ACT Is Payable
CTM20540,54.0,57.0,View changes,CTM20540 Franked Investment Income: As Upper Limit
CTM20560,0.0,4.0,View changes,CTM20560 Loan Released Or Written Off
CTM20565,0.0,3.0,View changes,CTM20565 Non-Qualifying Distributions Etc
CTM20570,297.0,302.0,View changes,CTM20570 FID
CTM21010,54.0,57.0,View changes,CTM21010 Overview
CTM21100,0.0,3.0,View changes,CTM21100 Election: Effect Of
CTM21110,0.0,3.0,View changes,CTM21110 Election: Conditions
CTM21200,54.0,57.0,View changes,CTM21200 Election: Dividend Vouchers
CTM21220,0.0,3.0,View changes,CTM21220 Excess FID
CTM21230,54.0,57.0,View changes,CTM21230 Authorised Unit Trusts
CTM21240,0.0,3.0,View changes,CTM21240 Repayment Interest
CTM21250,276.0,280.0,View changes,CTM21250 Accounting Procedures
CTM21270,3314.0,3317.0,View changes,CTM21270 How Legislation Operated In Practice: Summary
CTM21280,0.0,3.0,View changes,CTM21280 How Legislation Operated In Practice: Examples
CTM21310,54.0,57.0,View changes,CTM21310 Matching FID With Distributable Foreign Profit (DFP): Outline
CTM21330,0.0,3.0,View changes,CTM21330 Matching FID With Distributable Foreign Profit (DFP): Of A Subsidiary
CTM21400,54.0,57.0,View changes,CTM21400 ACT: FID: Repayment Or Set Off Of ACT: Contents
CTM21405,304.0,311.0,View changes,CTM21405 Outline
CTM21420,54.0,57.0,View changes,CTM21420 Notional Foreign Source
CTM21480,0.0,3.0,View changes,CTM21480 Revision Of Profits
CTM21510,54.0,57.0,View changes,CTM21510 Conditions
CTM21540,0.0,3.0,View changes,CTM21540 Company Found Not To Be An IHC
CTM21550,54.0,57.0,View changes,CTM21550 Further Reckoning Comparison
CTM22010,3223.0,3226.0,View changes,CTM22010 Introduction
CTM22050,2694.0,2720.0,View changes,CTM22050 Return Periods
CTM22060,1830.0,4587.0,View changes,CTM22060 Of Returns
CTM22070,0.0,2.0,View changes,CTM22070 Date Payable
CTM22085,0.0,2.0,View changes,CTM22085 FID Received In Later Return Period
CTM22150,0.0,2.0,View changes,CTM22150 Items Included In Error
CTM22250,0.0,3.0,View changes,CTM22250 Changes In Rate Of ACT
CTM34110,0.0,3.0,View changes,CTM34110 Migration: Before 15 March 1988
CTM34120,0.0,3.0,View changes,CTM34120 Migration: From 15 March 1988
CTM34130,0.0,3.0,View changes,CTM34130 Liabilities Arising: Introduction
CTM34132,0.0,3.0,View changes,CTM34132 Liabilities Arising: Deferral Of Exit Charges: Eligible Companies And Conditions
CTM34133,54.0,57.0,View changes,CTM34133 Liabilities Arising: Deferral Of Exit Charges: Exit Charge Payment Plan: General
CTM34135,0.0,3.0,View changes,CTM34135 Liabilities Arising: Deferral Of Exit Charges: Exit Charge Payment Plan: Realisation Method: Outline
CTM34136,54.0,57.0,View changes,CTM34136 Liabilities Arising: Deferral Of Exit Charges: Exit Charge Payment Plan: Realisation Method: Tax Deferral And Annual Reports
CTM34138,54.0,57.0,View changes,CTM34138 Liabilities Arising: Deferral Of Exit Charges: Exit Charge Payment Plan: Action In HMRC Offices: Other Issues
CTM34195,29.0,32.0,View changes,CTM34195 Migration: Guidance Notes For Migrating Companies
CTM34230,54.0,57.0,View changes,CTM34230 Residence: Non-Resident Companies: Differences In Treatment Compared With Resident Companies
CTM34240,0.0,4.0,View changes,CTM34240 Residence: Non-Resident Companies: ‘Charges Paid’ - Relief For Annual Payments And Patent Royalties
CTM34250,0.0,3.0,View changes,CTM34250 Residence: Non-Resident Companies: ‘Charges Received’: Income From Which Income Tax Has Been Deducted
CTM34270,0.0,3.0,View changes,CTM34270 Residence: Non-Resident Companies: Distributions Received
CTM34500,29.0,32.0,View changes,CTM34500 Residence: Dual Resident Companies: Contents
CTM34505,0.0,3.0,View changes,CTM34505 Introduction
CTM34720,54.0,57.0,View changes,CTM34720 Anti-Forestalling Provisions
CTM35100,54.0,57.0,View changes,CTM35100 Collection Of Tax On Annual Payments: Contents
CTM35110,0.0,3.0,View changes,CTM35110 Return Periods
CTM35120,0.0,3.0,View changes,CTM35120 Date Tax Payable
CTM35125,0.0,3.0,View changes,CTM35125 Set Off Of Tax Suffered By Deduction
CTM35130,54.0,58.0,View changes,CTM35130 Amended Return Where Company Becomes Aware Of An Error
CTM35205,0.0,4.0,View changes,CTM35205 Introduction
CTM35210,0.0,3.0,View changes,CTM35210 Payments Made Before 1 April 2001
CTM35218,54.0,57.0,View changes,CTM35218 Eurobonds And Deduction Of Tax
CTM35220,0.0,4.0,View changes,CTM35220 Income Received Net
CTM36105,0.0,2.0,View changes,CTM36105 Introduction
CTM36125,54.0,56.0,View changes,CTM36125 Beneficial Ownership Of Shares
CTM36130,0.0,2.0,View changes,CTM36130 Distributions
CTM36135,0.0,2.0,View changes,CTM36135 Responsibility Of Officer
CTM36145,0.0,2.0,View changes,CTM36145 Review Office
CTM36150,54.0,56.0,View changes,"CTM36150 Investment Of Surplus Funds By The Department For Business, Innovation And Skills"
CTM36205,0.0,4.0,View changes,CTM36205 Distributions In Anticipation Of Dissolution: Introduction
CTM36210,0.0,3.0,View changes,CTM36210 Loans To Participators
CTM36220,0.0,3.0,View changes,CTM36220 Distributions Treated As Being Made On Formal Winding Up
CTM36230,0.0,3.0,View changes,CTM36230 ESCC16: Already Dissolved
CTM36320,1.0,4.0,View changes,CTM36320 Condition C: Introduction
CTM36505,6287.0,6352.0,View changes,CTM36505 Introduction
CTM36510,0.0,3.0,View changes,CTM36510 Computation Of Profits And Losses
CTM36540,0.0,3.0,View changes,CTM36540 Companies In Partnership : Interest Paid Etc
CTM36560,0.0,3.0,View changes,CTM36560 Investment Partnerships
CTM36570,0.0,3.0,View changes,CTM36570 Investment Partnerships: Procedures For
CTM36590,0.0,4.0,View changes,CTM36590 Transfer Of Relief Between Companies And Partnerships
CTM36610,0.0,3.0,View changes,CTM36610 Repeal Of Rent Factoring Legislation From 6 June 2006
CTM36805,0.0,3.0,View changes,CTM36805 Introduction
CTM36810,0.0,3.0,View changes,CTM36810 Definitions: Securities And Transaction In Securities
CTM36820,0.0,3.0,View changes,CTM36820 'Circumstances’ And Relevant Consideration
CTM36835,54.0,58.0,View changes,CTM36835 Corporation Tax Advantage
CTM40055,0.0,3.0,View changes,CTM40055 Charities: General
CTM40105,0.0,3.0,View changes,CTM40105 Clubs: Introduction
CTM40110,439.0,446.0,View changes,CTM40110 Clubs: Incorporated Under The Co-Operative And Community Benefit Societies Act 2014 (Formerly The Industrial & Provident Societies Acts)
CTM40120,0.0,3.0,View changes,CTM40120 Clubs: Incorporated As Companies: Dividends Not Paid
CTM40135,54.0,57.0,View changes,CTM40135 Clubs: Machine Commissions
CTM40155,0.0,4.0,View changes,CTM40155 Credit Unions : Introduction
CTM40160,0.0,3.0,View changes,CTM40160 Taxation Of Union
CTM40310,0.0,3.0,View changes,CTM40310 Meaning Of Friendly Society
CTM40320,0.0,3.0,View changes,CTM40320 Business Categories
CTM40325,0.0,4.0,View changes,CTM40325 Exemption For Basic Life Assurance And General Annuityor Endowment Business (BLAGAB)
CTM40340,0.0,3.0,View changes,CTM40340 Repayment Claims
CTM40355,0.0,3.0,View changes,CTM40355 Introduction
CTM40360,0.0,2.0,View changes,CTM40360 IT Deducted From Payments Received
CTM40405,0.0,2.0,View changes,CTM40405 Introduction
CTM40410,540.0,543.0,View changes,CTM40410 Summary Of Tax Treatment
CTM40420,54.0,56.0,View changes,CTM40420 Co-Operatives - Nature Of Relief And Claim
CTM40425,0.0,2.0,View changes,CTM40425 Co- Operatives: Approval
CTM40435,0.0,2.0,View changes,CTM40435 Co-Operatives - Unlet Properties
CTM40465,0.0,2.0,View changes,CTM40465 Management Co-Operatives
CTM40505,0.0,3.0,View changes,CTM40505 General
CTM40507,77.0,81.0,View changes,CTM40507 Background And Types Of Society
CTM40510,11360.0,15083.0,View changes,CTM40510 Claims For Exemption
CTM40515,0.0,3.0,View changes,CTM40515 Carrying On Trade - Dividends Etc
CTM40520,0.0,3.0,View changes,CTM40520 Share And Loan Interest Paid: The Society
CTM40555,54.0,57.0,View changes,CTM40555 Financial Compensation
CTM40580,0.0,4.0,View changes,CTM40580 Agricultural And Fishing Co-Operatives Treated As Registered Societies
CTM40700,0.0,3.0,View changes,CTM40700 Investment Trusts
CTM40805,0.0,3.0,View changes,CTM40805 Loan And General
CTM40855,0.0,3.0,View changes,CTM40855 Introduction
CTM40860,0.0,3.0,View changes,CTM40860 Definition
CTM40880,54.0,57.0,View changes,CTM40880 Income Tax Deducted From Payments Received
CTM41050,0.0,3.0,View changes,CTM41050 Retirement Benefits Schemes
CTM41110,0.0,3.0,View changes,CTM41110 Sports Testimonial Or Benefit Committees
CTM41150,54.0,58.0,View changes,CTM41150 Local Enterprise Organisations And Urban Regeneration Companies
CTM41205,0.0,3.0,View changes,CTM41205 Within The Charge To Corporation Tax
CTM41210,0.0,3.0,View changes,CTM41210 Special Arrangement
CTM41255,0.0,3.0,View changes,CTM41255 Introduction
CTM41260,0.0,3.0,View changes,CTM41260 Provident Benefits - Extent Of Relief
CTM41265,0.0,3.0,View changes,CTM41265 Provident Benefits - Nature Of Payment
CTM41275,0.0,3.0,View changes,CTM41275 Provident Benefits - Method Of Allowing Relief
CTM41325,54.0,57.0,View changes,CTM41325 Part Of A Wider Undertaking?
CTM41335,0.0,4.0,View changes,CTM41335 Cessation
CTM47105,0.0,4.0,View changes,CTM47105 General: What Are They?
CTM47110,0.0,3.0,View changes,CTM47110 General: Approved And Unapproved
CTM47150,54.0,57.0,View changes,CTM47150 Approval Procedures: Contents
CTM47160,0.0,3.0,View changes,CTM47160 Provisional Approval
CTM47205,0.0,2.0,View changes,CTM47205 Residence And Close Control
CTM47210,0.0,2.0,View changes,CTM47210 Income
CTM47220,0.0,2.0,View changes,CTM47220 Official UK Listing
CTM47420,29.0,31.0,View changes,CTM47420 Transfer Groups
CTM47505,0.0,4.0,View changes,CTM47505 Introduction
CTM47510,0.0,3.0,View changes,CTM47510 When Dividends Can Be Designated As Interest Distributions
CTM47515,0.0,3.0,View changes,CTM47515 Prospective Investment Trust - The Intention And Reasonable Belief Test
CTM47535,0.0,3.0,View changes,CTM47535 Taxation Of Companies Making Interest Distributions
CTM47540,0.0,3.0,View changes,CTM47540 Taxation Of Investors Receiving Interest Distributions
CTM47545,0.0,3.0,View changes,CTM47545 Duty To Deduct Tax From Interest Distributions - General
CTM47555,0.0,4.0,View changes,CTM47555 Gross Interest Distributions - Reputable Intermediary Condition
CTM47560,0.0,3.0,View changes,CTM47560 Gross Interest Distributions - Evidence Required To Demonstrate The Residence Condition
CTM47570,0.0,3.0,View changes,CTM47570 Tax Vouchers - Introduction
CTM47580,0.0,3.0,View changes,CTM47580 Tax Vouchers - Alternative Rules For Providing Tax Information To Recipients
CTM47596,29.0,32.0,View changes,CTM47596 Duty To Keep And Preserve Records
CTM48110,0.0,3.0,View changes,CTM48110 Types Of Scheme
CTM48115,0.0,4.0,View changes,CTM48115 Authorised Investment Funds
CTM48120,0.0,3.0,View changes,CTM48120 Authorised Unit Trusts
CTM48125,0.0,3.0,View changes,CTM48125 Open-Ended Investment Companies
CTM48130,54.0,57.0,View changes,CTM48130 Unauthorised Unit Trusts
CTM48160,0.0,3.0,View changes,CTM48160 Criteria Required To Meet The GDO
CTM48165,0.0,3.0,View changes,CTM48165 Advance Clearance Procedure
CTM48170,0.0,3.0,View changes,CTM48170 What Information Should HMRC Consider To Check That The GDO Has Been Met
CTM48205,0.0,3.0,View changes,CTM48205 Introduction
CTM48230,0.0,3.0,View changes,CTM48230 Relief For Interest Paid
CTM48235,0.0,3.0,View changes,CTM48235 Loan Relationships Rules
CTM48245,54.0,57.0,View changes,CTM48245 Groups And Group Relief Claims
CTM48255,54.0,56.0,View changes,CTM48255 Distributions
CTM48260,0.0,3.0,View changes,CTM48260 Dividend Distributions
CTM48265,0.0,3.0,View changes,CTM48265 Interest Distributions
CTM48270,54.0,57.0,View changes,CTM48270 Interest Distributions - Qualifying Investments Test
CTM48280,0.0,3.0,View changes,CTM48280 Trading Or Investment
CTM48282,54.0,57.0,View changes,CTM48282 Trading Or Investment - ‘Investment Transactions’
CTM48288,54.0,57.0,View changes,CTM48288 Trading Or Investment - ‘Investment Transactions’ - Units In A Collective Investment Scheme
CTM48295,0.0,3.0,View changes,CTM48295 Trading Or Investment - Anti-Avoidance
CTM48410,54.0,57.0,View changes,CTM48410 Umbrella Funds Or Companies
CTM48440,0.0,3.0,View changes,CTM48440 Treatment Of Manager's Equalisation
CTM48445,0.0,3.0,View changes,CTM48445 Close Companies
CTM48505,0.0,4.0,View changes,CTM48505 Loan Relationships
CTM48515,54.0,57.0,View changes,CTM48515 Dividend Distributions
CTM48520,66.0,77.0,View changes,CTM48520 Interest Distributions
CTM48530,0.0,3.0,View changes,CTM48530 Financial Traders And Diversely Owned Aifs
CTM48535,54.0,57.0,View changes,CTM48535 Financial Traders And Diversely Owned Aifs: Special Rules
CTM48560,0.0,4.0,View changes,CTM48560 Interest Distributions
CTM48570,0.0,3.0,View changes,CTM48570 Financial Traders And Diversely Owned Aifs
CTM48580,29.0,33.0,View changes,"CTM48580 Financial Traders And Diversely Owned Aifs: Meaning Of ""Financial Trader"""
CTM48605,0.0,2.0,View changes,CTM48605 Introduction
